Level1,Level2,Level3,Level4,Content
STEP1,アンサーシート,答え,,１：穴うんす、２：穴た、３：穴ざー、４穴（ホール）ど<br>といったように、「あな」または「ホール」として解釈することで、マスに答えを埋めることができます。<br>４番目の答えを埋めた「ど」は、右上が塗りつぶされており、濁点が黒部分に同化して消えます。<br>この状態で赤矢印の順に読むと、答えは「スタート」です。
STEP2,Aの謎,ヒント１,,謎が成立する台紙への置き方を考えていきます。<br>まず、横長の長方形が5000を表すものを考えましょう。
STEP2,Aの謎,ヒント２,,この横長の長方形で5000、生活する上で見る何かです。<br>使用したことがない人はほとんどいません。
STEP2,Aの謎,ヒント３,,ずばり、この横長の長方形の四角はお金の「お札」を表していることが考えられます。<br>これによって、穴がある丸の形をしたお金の合計を用いて、謎が成立する台紙への置き方を考えましょう。
STEP2,Aの謎,答え,,合計は５５です。これを周りにある数字を用いて解読すると、ミミとなります。<br>「Ⅲ」の穴に入る文字は2パターンあり、正解となる制約は“「カジツ」に関わるか、「カラダ」に関わる。”のどちらかです。<br>Ⅲの穴から“ラダ”が見えるように台紙へ置くことで謎が成立し、「ミミ」という答えになります。
STEP2,Bの謎,ヒント１,,４つある黒い矢印に注目しましょう。<br>この矢印には、STEP1の4の謎に登場した矢印である、意味を反対にするルールの矢印です。<br>真ん中を見ると確かに、「ハル（貼る）」と「ハガス（剥がす）」で反対になっています。
STEP2,Bの謎,ヒント２,,「キノウ」の反対、「ショウスウ（少数）」の反対にそれぞれがなるように<br>問題を台紙に配置しましょう。
STEP2,Bの謎,ヒント３,,「Ⅱ」と書かれた穴には「↓」、「Ⅲ」の穴には「＋」という記号が入るように配置することで、<br>「きのう」の反対は「あ↓（した）」に、「しょうすう」の反対は「＋（たす）う」となり、問題が成立します。<br>一番下の「シ★」はどうなるでしょうか。<br>すでにある”ラ”以外の四角に当てはめた部分を続けて読むとできる言葉は何でしょうか。
STEP2,Bの謎,答え,,★を「スター」と読むことで、「シスター」となります。これの反対は「ブラザー」です。<br>２ヶ所ある四角に当てはめた文字を続けて読むと「ぶざー」が答えです。
STEP2,Cの謎,ヒント１,,謎が成立するように台紙を組み合わせましょう。<br>出てくる指示に従ったとき、存在する言葉になり得る方を考えてみましょう。
STEP2,Cの謎,ヒント２,,「Ⅱ」と書かれた穴に「▲」が入る向きが正しい向きです。<br>そうなるように台紙を配置して、問題を解きましょう。<br>空いたスペースや、memoを使用して実際に書き込んでみると、どうなるかがわかるかもしれません。
STEP2,Cの謎,答え,,指示に従い、▲を指定の形に変えることを考えます。<br>「現れた字は何？」という問題から、どんな字になっているかを見ると、<br>漢字の「米」という字になっています。答えは「こめ」です。
STEP2,Dの謎,ヒント１,,謎が成立するように台紙を組み合わせましょう。<br>答えが存在する言葉になる方を考えてみましょう。
STEP2,Dの謎,ヒント２,,すでに出ている文字から、左は「はんげつ」、右は「みかづき」だとわかります。<br>台紙に置く２パターンでは、「Ⅱ」及び「Ⅲ」に出てくる色が異なっています。<br>色に当てはまる文字と対応させて２パターンそれぞれ考えてみましょう。
STEP2,Dの謎,答え,,２パターンの配置は<br>「青橙緑 が答え」となるものと、「灰橙赤 が答え」となるものの２種類あります。<br>「青橙緑」である場合「みはん」と、存在しない言葉になります。<br>「灰橙赤」、灰は対応するものが何もないため、無視し「橙赤」だけと考えると、「はか（墓）」という存在する言葉になります。<br>答えは「はか」です。
STEP2,Eの謎,ヒント１,,「Ⅰ」と書かれた穴には、どう当てはめても「R」となり、<br>矢印と「+-」のついた数字のルールは変わらなそうです。<br>「Ⅱ」と「Ⅲ」の穴で、同時に成立している状態の謎を作り出しましょう。
STEP2,Eの謎,ヒント２,,＋やーの数字のルールはその数だけ、アルファベット順で進めたり戻したりするルールです。<br>このルールを使い、「Ⅱ」の穴に出てくる２種類、どちらが成立するかを考えましょう。
STEP2,Eの謎,答え,,「＋」の場合は「SORA」に、「ー」の場合は「MILU」<br>「天」から連想できるものは「SORA」、つまり「ソラ」が答えです。
STEP2,Fの謎,ヒント１,,穴に出てくる要素を上手に利用し、キーワードがすべて埋まるように台紙に当てはめましょう。
STEP2,Fの謎,ヒント２,,「Ⅲ」と書かれた穴に、「出口」が出ている状態では、単語を全て埋めきることができません。
STEP2,Fの謎,答え,,"「Ⅲ」に「刀」が出ている状態にすると、すべて埋めることができます。<br>「Ⅰ」の穴は「うきわ」、Ⅱの穴は「何もない」、「Ⅲ」の穴は「金庫」が現れます。<br><br>これらで、以下のように埋めることができます。<br><img src=“image/hint_image_1.png” class=""hint-img"" alt=""image1""><br>１２３の順に読んで、答えは「うちわ」です。"
STEP2,６問全て解けてから,ヒント１,,今まで導いた「A」～「F」の答えを使って、「アンサー」が何になるかを導きましょう。
STEP2,６問全て解けてから,ヒント２,,真ん中にあるひし形に並んだ盤面には、矢印の左側に当てはまる答えのイラストがあります。<br>これらを手がかりに、矢印のルールを考えてみましょう。
STEP2,６問全て解けてから,ヒント３,,Aの答えである「耳」のイラストのすぐ近くに、Bの答えである「ブザー」が、<br>Cの答えである「米」のイラストのすぐ近くに、Dの答えである「はか」があります。<br>このことから矢印のルールを考えましょう。
STEP2,６問全て解けてから,答え,,矢印のルールは「◯◯」の周囲にあるものに隣接している文字を読むというルールです。<br>「耳」のイラストの周囲にある文字は「ぶざー」、「米」のイラストの周囲にある文字は「はか」です。<br>このルールでEの答えの「空」の周囲にある文字は「とら」、<br>Fの答えの「うちわ」の周囲にある文字は「っぷ」。<br>これを続けて読みます。答えは「トラップ」です。
STEP3,ヒント１,,,「この紙面の一番“サイズ”の大きいサイコロ」の出目は、グレー側の面右下にある３です。<br>つまり、「S」から始めて、３の倍数マス目に止まることになります。<br>この止まったマス全ての指示に順番に従いましょう。
STEP3,ヒント２,,,出てくる指示は「イキモノヤマオリ、クダモノヤマオリ、ノリモノヤマオリ、フクモノヤマオリ、タテモノタニオリシヨメル、モジニシタガエ」です。指定されたものを順に折りましょう。
STEP3,ヒント３,,,イキモノはネコ、クダモノはミカン、ノリモノはクルマ、フクモノはゾウキン、タテモノはイエです。これらを順に折ると８文字の指示が出てきます。その８文字の指示に従いましょう。
STEP3,ヒント４,,,指定順で折っていくと、“「モノ」トイウジケセ”という指示が現れます。指示にしたがって、「モノ」を消すことで、何か変化する部分はないでしょうか？
STEP3,ヒント５,,,スゴロクの中にある「モノ」という字を全て消しましょう。<br>すると、指示文だけに注目してみると「イキヤマオリ、クダヤマオリ、ノリヤマオリ、フクヤマオリ、タテタニオリシヨメル、モジニシタガエ」という文章になります。指定されたものを順に折りましょう。
STEP3,ヒント６,,,これらを順に折り、最終的に文字として見える部分を読むと「コノママアカセンキレ」と出てきます。この指示に従い赤線を丁寧に切って広げましょう。
STEP3,その先のヒント,ヒント７,,すると、この紙はいくつかの穴が空いた状態になっています。いくつかの穴が空いたことで、問題として何か変化する部分はないでしょうか？
STEP3,その先のヒント,ヒント８,,サイコロの目がいくつかなくなっており、「一番サイズが大きいサイコロ」が変わっています。現状の状態で、もう一度スゴロクをやってみましょう。
STEP3,その先のヒント,ヒント９,,「一番サイズが多きいサイコロ」は「６」ではありません。この紙の状態をよく観察してみましょう。
STEP3,その先のヒント,ヒント１０,,穴が空いたことで、この紙自体が「５」を表しています。「一番サイズが大きいサイコロ」は「５」です。「S」から始めて、５の倍数で進んでいき、全ての止まったマス目にある指示に順番に従いましょう。
STEP3,その先のヒント,答え,,途中得た指示、“「モノ」トイウジケセ”も忘れずに、指示を導くと「カイ（モノ）、トウ（モノ）ランニ、タテ（モノ）、ヤクシャトイレテ」。<br>つまり、「解答欄に”タテヤクシャ”と入れて」となります。
STEP3-2,ヒント１,,,自らが開けた、５つの丸。これは先ほどの正方形の紙を赤線に沿って切った際に出た切れ端です。これの灰色側の面に書かれている物で、アナグラムして７文字の言葉を導きましょう。
STEP3-2,ヒント２,,,５つの丸にあるのは、「１、せ、ウ、ヨ、３」です。ここから７文字の言葉にするので、「１、３」は「イ、チ、サ、ン」として捉えた、「イ、チ、セ、ウ、ヨ、サ、ン」を並び替えてできる言葉です。
STEP3-2,ヒント３,,,並び替えてできる７文字の言葉の最初の文字は「サ」です。
STEP3-2,ヒント４,,,最後の文字は「ン」です。
STEP3-2,答え,,,並び替えてできる言葉は、「サイチョウセン（再挑戦）」です。
STEP4,やるべきことがわからない,ヒント１,,STEP2で使用した3枚の紙を使用し、各6パターン全ての指示に従って配置し、指定の穴の中を塗りつぶしましょう。<br>一番左では、正しい向きで「Aの謎」その上に、反対向きの「Fの謎」を配置して、「Fの謎」の「Ⅱ」の穴を綺麗に塗りつぶしましょう。
STEP4,やるべきことがわからない,ヒント２,,"それぞれ指示に従うと、以下の赤で示した場所を塗ることになります。<br><img src=“image/hint_image_2.png” class=""hint-img"" alt=""image2""><br><img src=“image/hint_image_3.png” class=""hint-img"" alt=""image3""><br><img src=“image/hint_image_4.png” class=""hint-img"" alt=""image4""><br><img src=“image/hint_image_5.png” class=""hint-img"" alt=""image5""><br><img src=“image/hint_image_6.png” class=""hint-img"" alt=""image6""><br><img src=“image/hint_image_7.png” class=""hint-img"" alt=""image7"">"
STEP4,その先のヒント,Aの謎の解き直し,ヒント１,STEP2の時と同じように、謎が成立するように台紙を組み合わせましょう。とはいえ、図形が表しているルールは解き直し前と変わっていません。
STEP4,その先のヒント,Aの謎の解き直し,ヒント２,穴の開いていない丸の形をしたお金の合計を用いてその先を考えましょう。
STEP4,その先のヒント,Aの謎の解き直し,ヒント３,合計は６１１です。これを周りにある数字を用いて解読しましょう。このとき、台紙の置き方によっては、１の対応が存在しないパターンがあります。<br>問題を成立させるには、１の対応が存在するパターンでするしかありません。
STEP4,その先のヒント,Aの謎の解き直し,答え,「Ⅲ」の穴に入る文字「ジツ」で、「カジツ」に関わることがわかり、この謎の答えは「バナナ」になります。
STEP4,その先のヒント,Bの謎の解き直し,ヒント１,問題に使用されている矢印は、STEP1の4の謎にあった矢印であり、解き直し前と後でルールが変わっていないため、台紙への配置方法は同じです。
STEP4,その先のヒント,Bの謎の解き直し,ヒント２,一番下の「シ⚫︎」はどうなるでしょうか。<br>すでにある“ラ”以外の四角に当てはめた部分を続けて読むと、できる言葉は何でしょうか。
STEP4,その先のヒント,Bの謎の解き直し,答え,★を「マル」と読むことで、「シマル」となります。これの反対は「ヒラク」です。<br>２ヶ所ある四角に当てはめた文字を続けて読むと「ヒク」が答えです。
STEP4,その先のヒント,Cの謎の解き直し,ヒント１,謎が成立するように台紙を組み合わせましょう。<br>出てくる指示に従ったとき、存在する言葉になり得る方を考えてみましょう。
STEP4,その先のヒント,Cの謎の解き直し,ヒント２,「Ⅱ」と書かれた穴に「▲」が入っても、問題中に▲がないので成立しません。<br>これではない向きに配置してみましょう。すると、“「黒」を「橙」にせよ。”となります。
STEP4,その先のヒント,Cの謎の解き直し,答え,今の問題の状態で、黒を全て橙にすることで、「太陽」の絵になります。答えは「太陽」です。
STEP4,その先のヒント,Dの謎の解き直し,ヒント１,謎が成立するように台紙を組み合わせましょう。<br>答えが存在する言葉になる方を考えてみましょう。
STEP4,その先のヒント,Dの謎の解き直し,ヒント２,すでに出ている文字から、左は塗られていることにより「はんげつ」は「しんげつ」になり、右は「みかづき」だとわかります。<br>台紙に置く２パターンでは、「Ⅱ」及び「Ⅲ」に出てくる色が異なっています。<br>色に当てはまる文字と対応させて２パターンそれぞれ考えてみましょう。
STEP4,その先のヒント,Dの謎の解き直し,答え,２パターンの配置は<br>「青橙緑 が答え」となるものと、「灰橙赤 が答え」となるものの２種類あります。<br>「青橙緑」である場合「みしん」という言葉になります。<br>「灰橙赤」、灰は対応するものが何もないため、無視し「橙赤」だけと考えると、「しか」という存在する言葉になります。<br>しかし、「しか」が答えになるように配置している場合、“答えは生物ではない”という記載に矛盾します。よって答えは「みしん」です。
STEP4,その先のヒント,Eの謎の解き直し,ヒント１,「Ⅰ」と書かれた穴には、どの向きで当てはめても「R」のため、<br>矢印と「+-」のついた数字のルールは変わらなそうです。<br>「Ⅱ」と「Ⅲ」の穴で、同時に成立している状態の謎を作り出しましょう。
STEP4,その先のヒント,Eの謎の解き直し,ヒント２,穴で塗りつぶしたことにより、「O」が「C」に変わっています。もう一度同じルールを使い、「Ⅱ」の穴に出てくる２種類だと、どっちであれば成立するかを考えましょう。
STEP4,その先のヒント,Eの謎の解き直し,答え,「＋」の場合は「SOFA」に、「ー」の場合は「MIZU」になります。<br>「SOFA」は「天」から連想できませんが、「MIZU」は「飲」から連想ができます。よって、「ミズ」が答えです。
STEP4,その先のヒント,Fの謎の解き直し,ヒント１,穴に出てくる要素を上手に利用し、キーワードがすべて埋まるように台紙に当てはめましょう。
STEP4,その先のヒント,Fの謎の解き直し,ヒント２,塗りつぶしたことで、「大人気」から「大人」に変化しており、解き直し前に、真ん中のヨコに埋めた「だいにんき」は埋まらなくなりますので、別で５文字の単語を埋める必要があります。
STEP4,その先のヒント,Fの謎の解き直し,答え,"すべて埋めるには、「Ⅱ」に「形」が出ている状態にすることで、埋める単語「にんぎょう」を作り出すことができます。<br>「Ⅰ」の穴は「金庫」、Ⅱの穴は「形」、「Ⅲ」の穴は「刀」が現れます。<br><br>これらで、以下のように埋めることができます。<br><img src=“image/hint_image_8.png” class=""hint-img"" alt=""image8""><br>１２３の順に読んで、答えは「きなこ」です。"
STEP4,その先のヒント,６問全て解けてから,ヒント１,今まで導いた「A」～「F」の答えを使って、「アンサー」が何になるかを導きましょう。
STEP4,その先のヒント,６問全て解けてから,ヒント２,真ん中にあるひし形に並んだ盤面には、矢印の左側に当てはまる答えのイラストがあります。<br>これらを手がかりに、矢印のルールを考えてみましょう。
STEP4,その先のヒント,６問全て解けてから,答え,矢印のルールは、続けて読むとその単語になるように結び、繋いだ線が通る文字を読むというルールです。<br>「バナナ」を探すと「ば」と「７」があり、繋いだ線上にあるのは「ヒク」。「タイヨウ」を探すと「鯛」と「よ」と「う」があり、繋いだ線上にあるのは「ミシン」<br>このルールでEの答えの「ミズ」ではそのまま文字を繋いで「ディ」、<br>Fの答えの「キナコ」では「木、な、こ」を繋いで「ープ」。<br>これを続けて読みます。答えは「ディープ」です。
STEP5,ヒント１,,,以下の順で示されている通り、今度はSTEP1と、STEP2で使用した紙を組み合わせましょう。
STEP5,ヒント２,,,1.「STEP1の１」に、反対向きの「STEP2のE」を重ねる。<br>2.「STEP1の２」に、反対向きの「STEP2のA」を重ねる。<br>3.「STEP1の３」に、反対向きの「STEP2のC」を重ねる。<br>4.「STEP1の４」に、正しい向きの「STEP2のC」を重ねる。<br>これをそれぞれ行い、穴から見えるもので、それぞれアナグラムして４つの単語を導きましょう。
STEP5,ヒント３,,,「STEP1の１」は上から、「と、←、ち」で５文字の言葉に、「STEP1の２」は上から「字、あ（解答欄に書いた文字）」、「STEP1の３」は上から「よ、ま、じ」、「STEP1の４」は上から「と、う」となります。
STEP5,ヒント４,,,それぞれ並び替えると「ひとりだち、あじ、まじょ、とう」となります。続いて４つの青の線に合うように、“アンサーシート”を配置して解き進めましょう。
STEP5,ヒント５,,,青い線はSTEP2の一番大きい紙にあります。ここにSTEP１のアンサーシートを配置することで、アンサーシートに空いていた穴にそれぞれ文字が現れます。
STEP5,ヒント６,,,現れた文字と、先ほどアナグラムして導いた言葉を利用して、アンサーシートに埋めると、赤い矢印が表す答えは「ちじょう」です。
LAST STEP,何をしたら良いかわからない,ヒント１,,イラストを指す矢印で通っている図形は、STEP2の問題番号のフレームと一致しています。
LAST STEP,何をしたら良いかわからない,ヒント２,,左のトランプが表すものは「ACE」、右はそのまま「BED」です。同梱されている筆記具を使用し、指定された問題の指定された穴に、順番に注意して差し込みましょう。
LAST STEP,何をしたら良いかわからない,ヒント３,,左側はEの謎の「Ⅰ」の穴、Cの謎の「Ⅰ」、Eの謎の「Ⅱ」に順番に筆記具を通すこと、<br>Dの謎の「Ⅱ」、Eの謎の「Ⅱ」、Bの謎の「Ⅲ」に順番に筆記具を通すことを表しています。
LAST STEP,何をしたら良いかわからない,その先のヒント,ヒント４,それぞれ指定の通りに筆記具に通せたら、紙には触れず落とさないように持ち上げましょう。<br>※持ち上げたら軽く振るのがコツです。<br>左側の場合では持つ方から見て2つの矢印が何かの文字を指し、右側の場合は尖った方から見て１つの矢印が何かの文字を指します。<br>指された文字３つをアナグラムしてできる言葉を導きましょう。
LAST STEP,何をしたら良いかわからない,その先のヒント,ヒント５,左側の場合は「ナ、ギ」、右側の場合は「赤」を指し示します。これらを並び替えてできる言葉を考えましょう。
